sentence_id	words	labels	prob
1	which	O	0.99998474
1	is	O	0.9999923
1	better	PRED	0.998881
1	a	O	0.9999695
1	laptop	OBJ	0.9999638
1	or	O	0.9998856
1	a	O	0.9999686
1	desktop	OBJ	0.99990946
2	which	O	0.9999886
2	is	O	0.9999886
2	better	PRED	0.99874383
2	canon	OBJ	0.99992085
2	or	O	0.9997835
2	nikon	OBJ	0.999957
3	what	O	0.9999866
3	are	O	0.99998385
3	the	O	0.99989796
3	advantages	PRED	0.9999752
3	and	PRED	0.9999018
3	disadvantages	PRED	0.99991703
3	of	O	0.9990925
3	php	OBJ	0.9999552
3	over	O	0.9951015
3	python	OBJ	0.9999438
3	and	O	0.9514797
3	vice	O	0.58062667
3	versa	O	0.92065775
4	why	O	0.9998913
4	is	O	0.9999552
4	linux	OBJ	0.9999543
4	better	PRED	0.9994213
4	than	O	0.99990654
4	windows	OBJ	0.9999647
5	train	OBJ	0.99996567
5	or	O	0.9984448
5	plane	OBJ	0.9999723
5	which	O	0.9999714
5	is	O	0.9999923
5	the	O	0.9999866
5	better	PRED	0.9999695
5	choice	O	0.97659236
6	should	O	0.9996558
6	one	O	0.9979498
6	prefer	PRED	0.99891526
6	chinese	OBJ	0.9999714
6	medicine	OBJ	0.99995995
6	or	O	0.99967194
6	western	OBJ	0.99997425
6	medicine	OBJ	0.999958
7	do	O	0.99859333
7	you	O	0.98292226
7	prefer	PRED	0.9997092
7	cats	OBJ	0.9998999
7	or	O	0.999084
7	dogs	OBJ	0.9999675
7	and	O	0.9994213
7	why	O	0.9990391
8	what	O	0.9999923
8	is	O	0.99999136
8	the	O	0.9999809
8	better	PRED	0.9999427
8	way	O	0.99964625
8	to	O	0.99966246
8	grill	ASP	0.99824774
8	outdoors	ASP	0.9964558
8	gas	OBJ	0.9999018
8	or	O	0.99899346
8	charcoal	OBJ	0.99992085
9	which	O	0.9999857
9	is	O	0.9999829
9	better	PRED	0.99912405
9	mac	OBJ	0.9999418
9	or	O	0.9998388
9	pc	OBJ	0.999919
10	which	O	0.99998385
10	is	O	0.9999866
10	better	PRED	0.99795455
10	pepsi	OBJ	0.9991897
10	or	O	0.99947757
10	coke	OBJ	0.9994451
11	what	O	0.99999136
11	is	O	0.99998754
11	better	PRED	0.9979507
11	google	OBJ	0.99997705
11	search	OBJ	0.9999666
11	or	O	0.9997969
11	yahoo	OBJ	0.99997616
11	search	OBJ	0.99995905
12	which	O	0.99998474
12	browser	O	0.99992657
12	is	O	0.999939
12	better	PRED	0.99964625
12	internet	OBJ	0.99726665
12	explorer	OBJ	0.99994564
12	or	O	0.9996787
12	firefox	OBJ	0.9999332
13	which	O	0.99999046
13	is	O	0.9999943
13	a	O	0.9999809
13	better	PRED	0.9998197
13	vehicle	ASP	0.9852168
13	bmw	OBJ	0.9999723
13	or	O	0.9997997
13	audi	OBJ	0.9999714
14	which	O	0.9999866
14	one	O	0.9999686
14	is	O	0.99994856
14	better	PRED	0.99973303
14	an	O	0.99993795
14	electric	OBJ	0.9999781
14	stove	OBJ	0.9999723
14	or	O	0.99991703
14	a	O	0.9999609
14	gas	OBJ	0.99992657
14	stove	OBJ	0.9999304
15	what	O	0.9999923
15	planes	O	0.99993426
15	are	O	0.9997178
15	best	PRED	0.9999008
15	boeing	OBJ	0.99982834
15	or	O	0.99991226
15	airbus	OBJ	0.99988747
16	should	O	0.99997425
16	i	O	0.9999647
16	buy	O	0.9985733
16	an	O	0.9974227
16	xbox	OBJ	0.9999247
16	or	O	0.9996692
16	a	O	0.99968624
16	playstation	OBJ	0.99957764
17	what	O	0.9999895
17	is	O	0.99998385
17	better	PRED	0.9966382
17	asp	OBJ	0.9999686
17	or	O	0.9997874
17	php	OBJ	0.9999609
18	what	O	0.9999886
18	is	O	0.9999886
18	better	PRED	0.9995223
18	for	O	0.99998474
18	the	O	0.97281057
18	environment	ASP	0.99907815
18	a	O	0.9999409
18	real	OBJ	0.9999647
18	or	O	0.9998408
18	a	O	0.9999361
18	fake	OBJ	0.9999475
18	christmas	OBJ	0.99971193
18	tree	OBJ	0.9997874
19	what	O	0.99999136
19	ide	O	0.9999018
19	is	O	0.9998588
19	better	PRED	0.99953187
19	for	O	0.9999332
19	java	ASP	0.9388372
19	netbeans	OBJ	0.84750044
19	or	O	0.99978644
19	eclipse	OBJ	0.999876
20	is	O	0.9999818
20	opengl	OBJ	0.99997044
20	better	PRED	0.99934506
20	than	O	0.99988174
20	direct3d	OBJ	0.9999714
20	in	O	0.99993795
20	terms	O	0.9995938
20	of	O	0.9999543
20	portability	ASP	0.99988467
20	to	ASP	0.99988174
20	different	ASP	0.9999409
20	platforms	ASP	0.99993795
21	which	O	0.9999866
21	four	O	0.8711182
21	wheel	ASP	0.9247963
21	truck	ASP	0.63208544
21	is	O	0.9999018
21	better	PRED	0.9997797
21	ford	OBJ	0.99996275
21	or	O	0.99957377
21	toyota	OBJ	0.99995136
22	should	O	0.9999714
22	i	O	0.9999638
22	prefer	PRED	0.99776715
22	a	O	0.9999714
22	leica	OBJ	0.9999675
22	camera	OBJ	0.99995136
22	over	O	0.9996158
22	nikon	OBJ	0.9999552
22	for	O	0.999897
22	portrait	ASP	0.9995795
22	photographs	ASP	0.9996654
23	is	O	0.99997705
23	pasta	OBJ	0.9994908
23	healthier	PRED	0.9999227
23	than	O	0.9999179
23	pizza	OBJ	0.9996472
24	what	O	0.9999829
24	is	O	0.9999723
24	better	PRED	0.9997483
24	at	O	0.99978924
24	reducing	ASP	0.999488
24	fever	ASP	0.9997797
24	in	ASP	0.9992726
24	children	ASP	0.99897635
24	ibuprofen	OBJ	0.99949557
24	or	O	0.998103
24	aspirin	OBJ	0.99940985
25	should	O	0.9999818
25	i	O	0.99997336
25	buy	O	0.997417
25	steel	OBJ	0.9999427
25	or	O	0.99970716
25	ceramic	OBJ	0.9999142
25	knives	OBJ	0.9998617
26	is	O	0.9999552
26	morning	OBJ	0.9999466
26	or	O	0.9798757
26	afternoon	OBJ	0.99994564
26	sun	OBJ	0.99996567
26	the	O	0.99997616
26	best	PRED	0.99995136
26	for	O	0.99717826
26	fruit	ASP	0.999854
26	trees	ASP	0.9998665
27	what	O	0.99998474
27	is	O	0.99997616
27	better	PRED	0.9996644
27	for	O	0.9999752
27	back	ASP	0.9992383
27	pain	ASP	0.99944323
27	chiropractic	OBJ	0.99989223
27	therapy	OBJ	0.9999495
27	or	O	0.9990868
27	physical	OBJ	0.9999284
27	therapy	OBJ	0.99992657
28	is	O	0.9999647
28	kenya	OBJ	0.9999543
28	or	O	0.9987667
28	tanzania	OBJ	0.99995905
28	better	PRED	0.9995795
28	for	O	0.99997425
28	a	O	0.99943554
28	safari	ASP	0.9999179
29	which	O	0.99998754
29	is	O	0.9999866
29	better	PRED	0.99764806
29	family	OBJ	0.9998656
29	guy	OBJ	0.9999323
29	or	O	0.9997206
29	the	O	0.9989077
29	simpsons	OBJ	0.9998751
30	which	O	0.99998385
30	is	O	0.9999886
30	more	PRED	0.99996275
30	difficult	ASP	0.9997549
30	skiing	OBJ	0.9999475
30	or	O	0.99948895
30	snowboarding	OBJ	0.9999647
31	why	O	0.99988467
31	is	O	0.9999533
31	basketball	OBJ	0.9997997
31	better	PRED	0.999531
31	than	O	0.9998645
31	football	OBJ	0.9999552
32	who	O	0.99998385
32	is	O	0.99998754
32	stronger	PRED	0.9998522
32	hulk	OBJ	0.9998684
32	or	O	0.9998913
32	superman	OBJ	0.99981785
33	plastic	OBJ	0.9999332
33	pots	OBJ	0.9999438
33	or	O	0.99754447
33	ceramic	OBJ	0.9999113
33	pots	OBJ	0.9999418
33	which	O	0.99998474
33	is	O	0.99998474
33	better	PRED	0.9989953
33	in	O	0.99995905
33	terms	O	0.99982446
33	of	O	0.9999304
33	plant	ASP	0.99973583
33	health	ASP	0.9998122
34	should	O	0.99995995
34	i	O	0.9999323
34	take	O	0.9998045
34	the	O	0.9977728
34	ielts	OBJ	0.9999142
34	or	O	0.99955577
34	the	O	0.99959856
34	toefl	OBJ	0.99991995
35	are	O	0.99998754
35	online	OBJ	0.9999179
35	courses	OBJ	0.99988174
35	better	PRED	0.99960715
35	than	O	0.99993515
35	physical	OBJ	0.99978536
35	classrooms	OBJ	0.9997912
36	who	O	0.99999046
36	was	O	0.9999829
36	a	O	0.9999818
36	better	PRED	0.9999552
36	boxer	ASP	0.9990286
36	muhammad	OBJ	0.99995995
36	ali	OBJ	0.9999695
36	or	O	0.99989796
36	joe	OBJ	0.9999686
36	frazier	OBJ	0.9999438
37	which	O	0.9999829
37	technology	ASP	0.99619734
37	performs	ASP	0.9990973
37	better	PRED	0.9998999
37	apples	OBJ	0.9999399
37	or	O	0.9996281
37	googles	OBJ	0.99996185
38	who	O	0.99998474
38	is	O	0.9999829
38	better	PRED	0.9999008
38	at	O	0.9964823
38	learning	ASP	0.99991035
38	a	ASP	0.99988747
38	foreign	ASP	0.9998856
38	language	ASP	0.99983215
38	kids	OBJ	0.99993515
38	or	O	0.9990506
38	adults	OBJ	0.9999409
39	which	O	0.9999857
39	city	O	0.99981016
39	is	O	0.9999609
39	better	PRED	0.99979216
39	london	OBJ	0.9999018
39	or	O	0.9997635
39	paris	OBJ	0.9999552
40	are	O	0.9999857
40	artificial	OBJ	0.9998465
40	sweeteners	OBJ	0.9965299
40	better	PRED	0.99976736
40	than	O	0.9999036
40	white	OBJ	0.9976406
40	sugar	OBJ	0.99548405
41	is	O	0.99999136
41	it	O	0.9999609
41	healthier	PRED	0.99960333
41	to	O	0.9999666
41	bake	OBJ	0.99997425
41	than	O	0.99988836
41	to	O	0.99984837
41	fry	OBJ	0.99997336
41	food	OBJ	0.99992657
42	which	O	0.9999695
42	algorithm	O	0.9991735
42	is	O	0.99985313
42	better	PRED	0.99929553
42	quicksort	OBJ	0.9999781
42	or	O	0.999651
42	merge	OBJ	0.9999791
42	sort	OBJ	0.9999818
43	what	O	0.9999934
43	is	O	0.9999886
43	better	PRED	0.99780506
43	cow	OBJ	0.9999818
43	milk	OBJ	0.9999829
43	or	O	0.9997626
43	goat	OBJ	0.9999714
43	milk	OBJ	0.9999723
44	i	O	0.9999427
44	am	O	0.9999543
44	planning	O	0.9989725
44	to	O	0.99846476
44	buy	O	0.95241106
44	sneakers	O	0.8701073
44	which	O	0.9999361
44	are	O	0.9999866
44	better	PRED	0.9926145
44	adidas	OBJ	0.99993426
44	or	O	0.99987406
44	nike	OBJ	0.99995905
45	should	O	0.9999666
45	i	O	0.99993706
45	major	O	0.95194525
45	in	OBJ	0.5689808
45	philosophy	OBJ	0.9996882
45	or	O	0.99958146
45	psychology	OBJ	0.99988174
46	when	O	0.99995995
46	are	O	0.9999686
46	random	OBJ	0.99995613
46	forest	OBJ	0.99992365
46	classifiers	OBJ	0.9999399
46	better	PRED	0.9997635
46	than	O	0.9998941
46	decision	OBJ	0.9998913
46	trees	OBJ	0.99975306
47	what	O	0.9999934
47	are	O	0.9999895
47	the	O	0.99998385
47	pros	PRED	0.999958
47	and	PRED	0.9999552
47	cons	PRED	0.9999247
47	of	O	0.9999152
47	wood	OBJ	0.99976164
47	vs	O	0.99993795
47	stone	OBJ	0.9998474
47	mulch	OBJ	0.99984264
48	is	O	0.9999809
48	rain	OBJ	0.99996567
48	water	OBJ	0.9999504
48	better	PRED	0.9994623
48	than	O	0.99984926
48	tap	OBJ	0.9999543
48	water	OBJ	0.9998788
48	for	O	0.999958
48	plants	ASP	0.9991449
49	which	O	0.99998474
49	is	O	0.99999046
49	more	PRED	0.99988467
49	environmentally	ASP	0.999346
49	friendly	ASP	0.99950707
49	a	O	0.99992657
49	hybrid	OBJ	0.99997336
49	or	O	0.9998197
49	a	O	0.9999256
49	diesel	OBJ	0.9998941
50	should	O	0.9999752
50	i	O	0.9999466
50	learn	O	0.9930358
50	python	OBJ	0.999957
50	or	O	0.99733514
50	r	OBJ	0.9999361
50	for	O	0.999877
50	data	ASP	0.99942803
50	analysis	ASP	0.99944603
